LogMessage,LogStatement,LogTemplate
"17/06/09 20:10:40 INFO executor.CoarseGrainedExecutorBackend: Registered signal handlers for [TERM, HUP, INT]
","logInfo(""Registered signal handlers for [TERM, HUP, INT]"")","Registered signal handlers for [TERM, HUP, INT]"
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing view acls to: yarn,curi
","logInfo(""Changing view acls to: yarn,curi"")",Changing view acls to: <*>
"17/06/09 20:10:40 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
","logInfo(""Changing modify acls to: yarn,curi"")",Changing modify acls to: <*>
"17/06/09 20:10:40 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","logInfo(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"")","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing view acls to: yarn,curi
","logInfo(""Changing view acls to: yarn,curi"")",Changing view acls to: <*>
"17/06/09 20:10:41 INFO spark.SecurityManager: Changing modify acls to: yarn,curi
","logInfo(""Changing modify acls to: yarn,curi"")",Changing modify acls to: <*>
"17/06/09 20:10:41 INFO spark.SecurityManager: SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)
","logInfo(""SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"")","SecurityManager: authentication disabled; ui acls disabled; users with view permissions: Set(yarn, curi); users with modify permissions: Set(yarn, curi)"
"17/06/09 20:10:41 INFO slf4j.Slf4jLogger: Slf4jLogger started
","logInfo(""Slf4jLogger started"")",Slf4jLogger started
"17/06/09 20:10:41 INFO Remoting: Starting remoting
","logInfo(""Starting remoting"")",Starting remoting
"17/06/09 20:10:41 INFO Remoting: Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]
","logInfo(""Remoting started; listening on addresses :[akka.tcp://sparkExecutorActorSystem@mesos-slave-07:55904]"")",Remoting started; listening on addresses :[<*>]
"17/06/09 20:10:41 INFO util.Utils: Successfully started service 'sparkExecutorActorSystem' on port 55904.
","logInfo(""Successfully started service 'sparkExecutorActorSystem' on port $port."")",Successfully started service 'sparkExecutorActorSystem' on port <*>.
"17/06/09 20:10:41 INFO storage.DiskBlockManager: Created local directory at /opt/hdfs/nodemanager/usercache/curi/appcache/application_1485248649253_0147/blockmgr-70293f72-844a-4b39-9ad6-fb0ad7e364e4
","logInfo(""Created local directory at $directoryPath"")",Created local directory at <*>
"17/06/09 20:10:41 INFO storage.MemoryStore: MemoryStore started with capacity 17.7 GB
","logInfo(""MemoryStore started with capacity $capacity"")",MemoryStore started with capacity <*> GB
"17/06/09 20:10:42 INFO executor.CoarseGrainedExecutorBackend: Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069
","logInfo(""Connecting to driver: spark://CoarseGrainedScheduler@10.10.34.11:48069"")",Connecting to driver: <*>
"17/06/09 20:10:42 INFO executor.CoarseGrainedExecutorBackend: Successfully registered with driver
","logInfo(""Successfully registered with driver"")",Successfully registered with driver
"17/06/09 20:10:42 INFO executor.Executor: Starting executor ID 5 on host mesos-slave-07
","logInfo(s""Starting executor ID $executorId on host $host"")",Starting executor ID <*> on host <*>
"17/06/09 20:10:42 INFO util.Utils: Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984.
","logInfo(""Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 40984."")",Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port <*>.
"17/06/09 20:10:42 INFO netty.NettyBlockTransferService: Server created on 40984
","logInfo(""Server created on $port"")",Server created on <*>
"17/06/09 20:10:42 INFO storage.BlockManagerMaster: Trying to register BlockManager
","logInfo(""Trying to register BlockManager"")",Trying to register BlockManager
"17/06/09 20:10:42 INFO storage.BlockManagerMaster: Registered BlockManager
","logInfo(""Registered BlockManager"")",Registered BlockManager
"17/06/09 20:10:45 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 0
","logInfo(""Got assigned task $taskId"")",Got assigned task <*>
"17/06/09 20:10:45 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 1
","logInfo(""Got assigned task $taskId"")",Got assigned task <*>
"17/06/09 20:10:45 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 2
","logInfo(""Got assigned task $taskId"")",Got assigned task <*>
"17/06/09 20:10:45 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 3
","logInfo(""Got assigned task $taskId"")",Got assigned task <*>
"17/06/09 20:10:45 INFO executor.Executor: Running task 0.0 in stage 0.0 (TID 0)
","logInfo(s""Running task $taskId in stage $stageId (TID $taskAttemptId)"")",Running task <*> in stage <*> (TID <*>)
"17/06/09 20:10:45 INFO executor.Executor: Running task 2.0 in stage 0.0 (TID 2)
","logInfo(s""Running task $taskId in stage $stageId (TID $taskId)"")",Running task <*> in stage <*> (TID <*>)
"17/06/09 20:10:45 INFO executor.Executor: Running task 1.0 in stage 0.0 (TID 1)
","logInfo(s""Running task $taskId in stage $stageId (TID $taskId)"")",Running task <*> in stage <*> (TID <*>)
"17/06/09 20:10:45 INFO executor.Executor: Running task 3.0 in stage 0.0 (TID 3)
","logInfo(s""Running task $taskId in stage $stageId (TID $taskId)"")",Running task <*> in stage <*> (TID <*>)
"17/06/09 20:10:45 INFO executor.CoarseGrainedExecutorBackend: Got assigned task 4
","logInfo(""Got assigned task $taskId"")",Got assigned task <*>
"17/06/09 20:10:45 INFO executor.Executor: Running task 4.0 in stage 0.0 (TID 4)
","logInfo(s""Running task $taskId in stage $stageId (TID $taskAttemptId)"")",Running task <*> in stage <*> (TID <*>)
"17/06/09 20:10:45 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 9
","logInfo(s""Started reading broadcast variable $variableId"")",Started reading broadcast variable <*>
"17/06/09 20:10:45 INFO storage.MemoryStore: Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)
","logInfo(s""Block $blockId stored as bytes in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:45 INFO broadcast.TorrentBroadcast: Reading broadcast variable 9 took 160 ms
","logInfo(s""Reading broadcast variable $variableId took $usedTimeMs ms"")",Reading broadcast variable <*> took <*> ms
"17/06/09 20:10:46 INFO storage.MemoryStore: Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)
","logInfo(s""Block $blockId stored as $storageLevel in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:46 INFO spark.CacheManager: Partition rdd_2_1 not found, computing it
","logInfo(s""Partition $partitionId not found, computing it"")","Partition <*> not found, computing it"
"17/06/09 20:10:46 INFO spark.CacheManager: Partition rdd_2_3 not found, computing it
","logInfo(s""Partition $partitionId not found, computing it"")","Partition <*> not found, computing it"
"17/06/09 20:10:46 INFO spark.CacheManager: Partition rdd_2_0 not found, computing it
","logInfo(s""Partition $partitionId not found, computing it"")","Partition <*> not found, computing it"
"17/06/09 20:10:46 INFO spark.CacheManager: Partition rdd_2_2 not found, computing it
","logInfo(s""Partition $partitionId not found, computing it"")","Partition <*> not found, computing it"
"17/06/09 20:10:46 INFO spark.CacheManager: Partition rdd_2_4 not found, computing it
","logInfo(s""Partition $partitionId not found, computing it"")","Partition <*> not found, computing it"
"17/06/09 20:10:46 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292
","logInfo(s""Input split: $inputSplit"")",Input split: <*>
"17/06/09 20:10:46 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292
","logInfo(s""Input split: $inputSplit"")",Input split: <*>
"17/06/09 20:10:46 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292
","logInfo(s""Input split: $inputSplit"")",Input split: <*>
"17/06/09 20:10:46 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292
","logInfo(s""Input split: $inputSplit"")",Input split: <*>
"17/06/09 20:10:46 INFO rdd.HadoopRDD: Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292
","logInfo(s""Input split: $inputSplit"")",Input split: <*>
"17/06/09 20:10:46 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 8
","logInfo(s""Started reading broadcast variable $variableId"")",Started reading broadcast variable <*>
"17/06/09 20:10:46 INFO storage.MemoryStore: Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)
","logInfo(s""Block $blockId stored as bytes in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:46 INFO broadcast.TorrentBroadcast: Reading broadcast variable 8 took 19 ms
","logInfo(s""Reading broadcast variable $variableId took $usedTimeMs ms"")",Reading broadcast variable <*> took <*> ms
"17/06/09 20:10:46 INFO storage.MemoryStore: Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)
","logInfo(s""Block $blockId stored as $storageType in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.tip.id is deprecated. Instead, use mapreduce.task.id
","logInfo(""Configuration.deprecation: mapred.tip.id is deprecated. Instead, use mapreduce.task.id"")","mapred.tip.id is deprecated. Instead, use mapreduce.task.id"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id
","logInfo(""Configuration.deprecation: mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id"")","mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap
","logInfo(""Configuration.deprecation: mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap"")","mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.job.id is deprecated. Instead, use mapreduce.job.id
","logInfo(""Configuration.deprecation: mapred.job.id is deprecated. Instead, use mapreduce.job.id"")","mapred.job.id is deprecated. Instead, use mapreduce.job.id"
"17/06/09 20:10:47 INFO Configuration.deprecation: mapred.task.partition is deprecated. Instead, use mapreduce.task.partition
","logInfo(""Configuration.deprecation: mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"")","mapred.task.partition is deprecated. Instead, use mapreduce.task.partition"
"17/06/09 20:10:48 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 0
","logInfo(""Started reading broadcast variable $variableId"")",Started reading broadcast variable <*>
"17/06/09 20:10:48 INFO storage.MemoryStore: Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)
","logInfo(s""Block $blockId stored as bytes in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:48 INFO broadcast.TorrentBroadcast: Reading broadcast variable 0 took 21 ms
","logInfo(s""Reading broadcast variable $variableId took $usedTimeMs ms"")",Reading broadcast variable <*> took <*> ms
"17/06/09 20:10:48 INFO storage.MemoryStore: Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)
","logInfo(s""Block $blockId stored as $storageType in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:48 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 4
","logInfo(s""Started reading broadcast variable $variableId"")",Started reading broadcast variable <*>
"17/06/09 20:10:48 INFO storage.MemoryStore: Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)
","logInfo(s""Block $blockId stored as bytes in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:48 INFO broadcast.TorrentBroadcast: Reading broadcast variable 4 took 18 ms
","logInfo(s""Reading broadcast variable $variableId took $usedTimeMs ms"")",Reading broadcast variable <*> took <*> ms
"17/06/09 20:10:48 INFO storage.MemoryStore: Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)
","logInfo(s""Block $blockId stored as $storageType in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:48 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 3
","logInfo(s""Started reading broadcast variable $variableId"")",Started reading broadcast variable <*>
"17/06/09 20:10:48 INFO storage.MemoryStore: Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)
","logInfo(s""Block $blockId stored as bytes in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as bytes in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:48 INFO broadcast.TorrentBroadcast: Reading broadcast variable 3 took 17 ms
","logInfo(s""Reading broadcast variable $variableId took $usedTimeMs ms"")",Reading broadcast variable <*> took <*> ms
"17/06/09 20:10:48 INFO storage.MemoryStore: Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)
","logInfo(s""Block $blockId stored as $storageType in memory (estimated size $estimatedSize, free $freeMemory)"")","Block <*> stored as values in memory (estimated size <*>, free <*>)"
"17/06/09 20:10:48 INFO broadcast.TorrentBroadcast: Started reading broadcast variable 1
","logInfo(""Started reading broadcast variable $variableId"")",Started reading broadcast variable <*>
