Content,EventTemplate,Output
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33569,ciod: failed to read message prefix on control stream (CioStream socket to <*>,ciod: failed to read message prefix on control stream (CioStream socket to <*>)
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:33370,ciod: failed to read message prefix on control stream (CioStream socket to <*>,ciod: failed to read message prefix on control stream (CioStream socket to <*>)
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,machine check: <*>......................<*>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,machine check: <*>......................<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,machine check: <*>......................<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
data storage interrupt,data storage interrupt,<*>
machine check: i-fetch......................0,machine check: i-fetch......................<*>,machine check: <*>......................<*>
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,"""data store interrupt caused by <*>.........<*>"""
machine check: i-fetch......................0,machine check: i-fetch......................<*>,machine check: <*>......................<*>
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,"""data store interrupt caused by <*>.........<*>"""
program interrupt: trap instruction.........0,program interrupt: trap instruction.........<*>,program interrupt: <*> instruction.........<*>
store operation.............................1,store operation.............................<*>,<*>.............................<*>
store operation.............................1,store operation.............................<*>,<*>.............................<*>
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,"""data store interrupt caused by <*>.........<*>"""
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,"""data store interrupt caused by <*>.........<*>"""
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,"""data store interrupt caused by <*>.........<*>"""
auxiliary processor.........................0,auxiliary processor.........................<*>,<*>.........................<*>
program interrupt: unimplemented operation..0,program interrupt: unimplemented operation..<*>,program interrupt: <*>..<*>
program interrupt: fp cr update.............0,program interrupt: fp cr update.............<*>,program interrupt: <*> cr update.............<*>
icache prefetch depth....................0,icache prefetch depth....................<*>,icache prefetch <*>....................<*>
icache prefetch threshold................0,icache prefetch threshold................<*>,icache prefetch <*>....................<*>
icache prefetch threshold................0,icache prefetch threshold................<*>,icache prefetch <*>....................<*>
critical input interrupt enable...0,critical input interrupt enable...<*>,<*> input interrupt enable...<*>
ciod: failed to read message prefix on control stream (CioStream socket to 172.16.96.116:51706,ciod: failed to read message prefix on control stream (CioStream socket to <*>,ciod: failed to read message prefix on control stream (CioStream socket to <*>)
ciod: Error creating node map from file /p/gb2/cabot/miranda/newmaps/8k_128x64x1_8x4x4.map: No child processes,ciod: Error creating node map from file <*>: No child processes,ciod: Error creating node map from file <*>: <*>
program interrupt,program interrupt,<*>
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,"""data store interrupt caused by <*>.........<*>"""
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,"""data store interrupt caused by <*>.........<*>"""
data store interrupt caused by icbi.........0,data store interrupt caused by icbi.........<*>,"""data store interrupt caused by <*>.........<*>"""
auxiliary processor.........................0,auxiliary processor.........................<*>,<*>.........................<*>
auxiliary processor.........................0,auxiliary processor.........................<*>,<*>.........................<*>
auxiliary processor.........................0,auxiliary processor.........................<*>,<*>.........................<*>
program interrupt: unimplemented operation..0,program interrupt: unimplemented operation..<*>,program interrupt: <*>..<*>
program interrupt,program interrupt,<*>
program interrupt,program interrupt,<*>
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,"""data store interrupt caused by <*>.........<*>"""
data store interrupt caused by dcbf.........0,data store interrupt caused by dcbf.........<*>,"""data store interrupt caused by <*>.........<*>"""
auxiliary processor.........................0,auxiliary processor.........................<*>,<*>.........................<*>
ciod: Error creating node map from file /p/gb2/welcome3/32k_128x256x1_8x4x4.map: Bad file descriptor,ciod: Error creating node map from file <*>: Bad file descriptor,ciod: Error creating node map from file <*>: <*>
Ido chip status changed: FF:F2:9F:16:E2:23:00:0D:60:E9:1D:DC ip=10.0.0.151 v=9 t=4 status=M Fri Jul 01 08:16:53 PDT 2005,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>
Can not get assembly information for node card,Can not get assembly information for node card,Can not get assembly information for node <*>
1 torus receiver z+ input pipe error(s) (dcr 0x02f0) detected and corrected,<*> torus receiver z+ input pipe error(s) (dcr <*>) detected and corrected,<*> torus receiver <*> input pipe error(s) (dcr <*>) detected and corrected
ciod: Error creating node map from file /home/pakin1/sweep3d-2.2b/results/random1-8x32x32x2.map: Permission denied,ciod: Error creating node map from file <*>: Permission denied,ciod: Error creating node map from file <*>: <*>
NodeCard is not fully functional,NodeCard is not fully functional,<*> is not fully functional
"Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.","Node card status: ALERT <*>, ALERT <*>, ALERT <*>, ALERT <*> is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The <*> volt rail is OK. The <*> volt rail is OK.","Node card status: <*>, Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is <*>. <*>. Temperature Limit Error Latch is <*>. PGOOD is <*>. PGOOD error latch is <*>. MPGOOD is <*>. MPGOOD error latch is <*>. The <*> volt rail is <*>. The <*> volt rail is <*>."
Can not get assembly information for node card,Can not get assembly information for node card,Can not get assembly information for node <*>
Can not get assembly information for node card,Can not get assembly information for node card,Can not get assembly information for node <*>
Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,Node card status: no ALERTs are active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.
Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,Node card status: no ALERTs are active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.
Ido chip status changed: FF:F2:9F:16:EB:27:00:0D:60:E9:14:D8 ip=10.0.2.192 v=13 t=4 status=M Thu Aug 04 15:29:45 PDT 2005,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>
Ido chip status changed: FF:F2:9F:15:7E:6E:00:0D:60:EA:81:91 ip=10.0.1.155 v=13 t=1 status=M Thu Aug 04 15:31:25 PDT 2005,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>
"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310","PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>","PrepareForService shutting down NodeCard(<*>), mCardSernum(<*>), mLp(<*>), mIp(<*>), mType(<*>)) as part of Service Action <*>"
Ido chip status changed: FF:F2:9F:16:DC:81:00:0D:60:E9:23:7E ip=10.6.1.207 v=13 t=4 status=M Tue Aug 09 10:08:23 PDT 2005,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=M <*>,Ido chip status changed: <*> ip=<*> v=<*> t=<*> status=<*> <*>
Can not get assembly information for node card,Can not get assembly information for node card,Can not get assembly information for node <*>
Can not get assembly information for node card,Can not get assembly information for node card,Can not get assembly information for node <*>
Can not get assembly information for node card,Can not get assembly information for node card,Can not get assembly information for node <*>
Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.,Node card status: no ALERTs are active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The <*> volt rail is OK. The <*> volt rail is OK.
